timestamp,mode,model,transport,total_ms,server_ms,preprocess_ms,inference_ms,postprocess_ms,network_ms
1781016972.4858282,edge,detect,grpc,47.934875000000154,22.969999313354492,15.710000038146973,3.8499999046325684,3.4000000953674316,24.964875686645662
1781016972.590849,edge,detect,grpc,52.628750000000224,23.3799991607666,17.09000015258789,3.799999952316284,2.490000009536743,29.248750839233622
1781016972.692576,edge,detect,grpc,48.102499999999715,22.940000534057617,16.020000457763672,3.8299999237060547,3.0799999237060547,25.162499465942098
1781016972.793735,edge,detect,grpc,46.15716599999953,22.920000076293945,16.709999084472656,3.8299999237060547,2.390000104904175,23.237165923705582
1781016972.905589,edge,detect,grpc,56.70074999999919,24.3799991607666,17.690000534057617,4.059999942779541,2.630000114440918,32.32075083923259
1781016973.0187001,edge,detect,grpc,56.415000000000326,23.93000030517578,17.530000686645508,3.9700000286102295,2.430000066757202,32.484999694824545
1781016973.123487,edge,detect,grpc,49.49795899999998,21.920000076293945,14.960000038146973,3.799999952316284,3.1700000762939453,27.577958923706035
1781016973.2338161,edge,detect,grpc,56.59016599999944,24.280000686645508,18.010000228881836,3.8299999237060547,2.440000057220459,32.310165313353934
1781016973.348097,edge,detect,grpc,58.954875000000406,24.450000762939453,17.920000076293945,3.759999990463257,2.7699999809265137,34.50487423706095
1781016973.4532402,edge,detect,grpc,51.026499999999864,23.049999237060547,16.600000381469727,4.050000190734863,2.4100000858306885,27.976500762939317
1781016973.560519,edge,detect,grpc,51.934917000000524,23.639999389648438,16.65999984741211,4.130000114440918,2.8399999141693115,28.294917610352087
1781016973.6855922,edge,detect,grpc,70.94658299999956,25.09000015258789,18.540000915527344,3.940000057220459,2.619999885559082,45.85658284741167
1781016973.788967,edge,detect,grpc,48.68266699999957,23.239999771118164,16.649999618530273,4.010000228881836,2.5799999237060547,25.442667228881405
1781016973.893089,edge,detect,grpc,48.87295799999958,22.959999084472656,15.850000381469727,4.099999904632568,3.009999990463257,25.91295891552692
1781016974.0049741,edge,detect,grpc,56.57587500000005,22.739999771118164,16.209999084472656,4.03000020980835,2.5,33.83587522888189
1781016974.118763,edge,detect,grpc,58.570667000000576,24.65999984741211,17.950000762939453,4.210000038146973,2.5,33.910667152588466
1781016974.231642,edge,detect,grpc,59.17791700000041,24.719999313354492,17.479999542236328,3.9700000286102295,3.2699999809265137,34.45791768664592
1781016974.344898,edge,detect,grpc,57.95287499999979,24.549999237060547,18.200000762939453,3.9600000381469727,2.390000104904175,33.402875762939246
1781016974.47278,edge,detect,grpc,76.3601670000007,27.510000228881836,20.760000228881836,4.179999828338623,2.569999933242798,48.850166771118865
1781016974.584214,edge,detect,grpc,59.98937499999979,25.190000534057617,18.6200008392334,3.859999895095825,2.7100000381469727,34.79937446594217
1781016974.694567,edge,detect,grpc,54.96195900000078,22.31999969482422,15.0600004196167,3.8499999046325684,3.4200000762939453,32.64195930517656
1781016974.807391,edge,detect,grpc,57.58491599999971,23.610000610351562,17.260000228881836,3.9100000858306885,2.440000057220459,33.974915389648146
1781016974.906813,edge,detect,grpc,44.150375000000075,23.079999923706055,15.699999809265137,4.21999979019165,3.1600000858306885,21.07037507629402
1781016975.008502,edge,detect,grpc,46.45908399999943,23.15999984741211,16.75,4.019999980926514,2.390000104904175,23.29908415258732
1781016975.120202,edge,detect,grpc,56.445875000000534,24.15999984741211,17.489999771118164,3.990000009536743,2.680000066757202,32.285875152588424
1781016975.228849,edge,detect,grpc,53.37129199999957,23.59000015258789,17.43000030517578,3.890000104904175,2.2699999809265137,29.78129184741168
1781016975.3329742,edge,detect,grpc,48.87625000000018,22.280000686645508,15.319999694824219,4.010000228881836,2.9600000381469727,26.59624931335467
1781016975.444643,edge,detect,grpc,56.39683299999998,24.299999237060547,17.860000610351562,4.019999980926514,2.4200000762939453,32.09683376293943
1781016975.563665,edge,detect,grpc,63.30166700000017,24.540000915527344,17.6299991607666,4.039999961853027,2.869999885559082,38.76166608447283
1781016975.6683688,edge,detect,grpc,49.04195799999922,22.93000030517578,16.670000076293945,3.9000000953674316,2.359999895095825,26.111957694823438
1781016975.773081,edge,detect,grpc,51.50041699999974,23.170000076293945,16.360000610351562,4.070000171661377,2.740000009536743,28.330416923705798
1781016975.888216,edge,detect,grpc,60.20920799999985,25.18000030517578,18.68000030517578,3.9200000762939453,2.5799999237060547,35.029207694824066
1781016975.9969122,edge,detect,grpc,54.95141600000064,22.719999313354492,16.290000915527344,3.950000047683716,2.4800000190734863,32.23141668664615
1781016976.097505,edge,detect,grpc,46.316082999999786,22.760000228881836,15.539999961853027,4.130000114440918,3.0999999046325684,23.55608277111795
1781016976.1981351,edge,detect,grpc,48.47350000000006,22.940000534057617,16.479999542236328,3.950000047683716,2.5,25.53349946594244
1781016976.311379,edge,detect,grpc,58.59837499999987,24.09000015258789,17.729999542236328,3.9200000762939453,2.440000057220459,34.50837484741198
1781016976.428142,edge,detect,grpc,57.86325000000048,24.889999389648438,17.59000015258789,4.03000020980835,3.2699999809265137,32.97325061035204
1781016976.543808,edge,detect,grpc,61.37991599999992,24.600000381469727,18.110000610351562,4.0,2.5,36.7799156185302
1781016976.6725729,edge,detect,grpc,73.07033300000043,27.670000076293945,21.110000610351562,4.03000020980835,2.5199999809265137,45.400332923706486
1781016976.789898,edge,detect,grpc,60.99354200000029,25.25,18.780000686645508,3.7200000286102295,2.740000009536743,35.74354200000029
1781016976.8917902,edge,detect,grpc,46.66041700000001,22.969999313354492,15.699999809265137,3.869999885559082,3.4000000953674316,23.690417686645517
1781016977.001018,edge,detect,grpc,50.83429199999934,22.950000762939453,16.75,3.8299999237060547,2.380000114440918,27.884291237059884
1781016977.102041,edge,detect,grpc,46.751457999999246,23.170000076293945,15.90999984741211,4.050000190734863,3.2100000381469727,23.5814579237053
1781016977.207674,edge,detect,grpc,48.55708400000047,23.020000457763672,16.56999969482422,3.940000057220459,2.5,25.5370835422368
1781016977.317858,edge,detect,grpc,54.88208299999897,23.90999984741211,17.440000534057617,3.869999885559082,2.5999999046325684,30.972083152586862
1781016977.4282439,edge,detect,grpc,54.84075000000033,23.639999389648438,17.350000381469727,3.869999885559082,2.4200000762939453,31.20075061035189
1781016977.5374122,edge,detect,grpc,50.176958999999854,22.010000228881836,14.800000190734863,4.079999923706055,3.140000104904175,28.16695877111802
1781016977.648747,edge,detect,grpc,56.38820799999955,24.209999084472656,17.530000686645508,3.940000057220459,2.7300000190734863,32.178208915526895
1781016977.7553039,edge,detect,grpc,54.92729099999849,24.239999771118164,17.600000381469727,3.990000009536743,2.640000104904175,30.687291228880326
1781016977.857402,edge,detect,grpc,46.80458300000012,22.489999771118164,16.1200008392334,3.990000009536743,2.380000114440918,24.314583228881958
1781016977.964832,edge,detect,grpc,52.13662499999927,22.829999923706055,15.859999656677246,4.130000114440918,2.8299999237060547,29.306625076293216
1781016978.078909,edge,detect,grpc,58.76837499999965,24.739999771118164,18.200000762939453,3.9700000286102295,2.569999933242798,34.02837522888149
1781016978.183543,edge,detect,grpc,49.339459000000474,22.559999465942383,16.040000915527344,4.0,2.5199999809265137,26.77945953405809
